rec_id,given_name,surname,street_number,address_1,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
rec-1818-org,Alisha,Chock,6,N Kukui St,Kalaeloa,85224,,19670529,27,253 7184792,,6
rec-64-org,Alisha,Rivera,18,Lawa Pl,Haena,92799,hi,19670422,,808 0474949,,6
rec-806-org,,Ohara,74,,Kapaa,85075,,19840311,26,213 0227182,,4
rec-2480-org,Alisha,Hirota,12,Ala Kamaile St,Volcano,96755,nv,19340921,27,480 3932631,1517832,5
rec-1874-org,Alisha,Cho,15,Saddle Rd,,85216,nv,20180509,27,808 0242614,,0
rec-2697-org,Alisha,Alvarez,50,Edna St,Lawai,85237,az,,,808 7838865,,5
rec-2193-org,Alisha,Hill,79,Laniuma Loop,Puako,85260,wa,19601129,,602 5767070,,5
rec-2993-org,Alisha,Holland,576,Ohana Nui Cir,Makawao,96745,hi,20170719,,,3137711,9
rec-1731-org,Alisha,Chock,13,Pakohana St,Holualoa,85219,wa,19620219,23,,4886995,1
rec-1953-org,Alisha,La,9,Kipu Pl,Kalaeloa,90274,az,19540127,,206 5736799,8018448,8
rec-2569-org,Alisha,Coelho,3,Shower Pl,Lihue,90245,nv,20160426,31,602 9712877,6447262,1
rec-1709-org,Alisha,Oconnor,17,,Kihei,85224,az,19870810,32,310 7076802,9582932,4
rec-2223-org,Yvette,Chock,35,Kamole St,Wailea,90275,,19390703,29,253 2567469,,6
rec-1432-org,Alisha,Chock,863,Kanealii Ave,,85031,nv,20040619,32,808 4904237,8558252,1
rec-1058-org,Alisha,Pedro,26,Kamoamoa Hmstd Rd,Tiki Gardens,96749,,19881022,32,213 0819234,1590071,6
rec-966-org,Alisha,Rodrigues,55,Monte St,Pakala Village,85224,az,20200402,9,808 4736775,,8
rec-2133-org,Alisha,Aolani,3,Aina Kaha Pl,Paauilo,85211,az,19550905,32,423 5595711,3082431,4
rec-2393-org,Alisha,Holland,58,Sereno St,Volcano,89193,az,19880310,,253 8520806,7789439,5
rec-1376-org,Alisha,Hirayama,43,Puualii Pl,Tiki Gardens,92780,az,19950602,24,808 0817642,,9
rec-2500-org,Alisha,,49,Kepaniwai St,Hilo,85219,az,20060113,28,213 0339115,,5
rec-849-org,Alisha,Akiona,12,Philip St,Volcano,90290,az,19230524,36,206 4134137,4375453,4
rec-327-org,Alisha,Chock,27,Violet St,Tiki Gardens,96747,tx,19590109,36,253 1064146,,8
rec-2252-org,Alisha,Weaver,170,Pharis Pl,Haliimaile,96746,hi,19780113,27,206 5075163,3545515,2
rec-850-org,Alisha,Chow,9,Bougainville Loop,Wainiha,85042,hi,19720503,21,206 9303736,8212294,2
rec-763-org,Ridge,Kagawa,77,Curtis St,Kekaha,90212,wa,19840825,,206 9692152,,0
rec-2432-org,Alisha,Moore,59,Kaumaka Pl,Volcano,96746,az,19880321,8,253 9739974,,9
rec-2521-org,Ridge,Uluwehi,10,Upper St,Volcano,96772,az,20181016,26,253 4885436,3715007,8
rec-2007-org,Alisha,Ainakea,16,Noeau St,Tiki Gardens,90290,az,19351116,20,213 9994217,2040408,7
rec-119-org,Alisha,Herrera,3,Kaumakani St,Volcano,85075,or,19800408,33,602 7448756,3191874,4
rec-1737-org,Alisha,Toyama,55,,Olinda,85260,tx,19650608,30,808 8543653,3385160,8
rec-2346-org,Alisha,Ibarra,13,Keokea Pl,Volcano,89124,az,19830404,34,213 2233116,,6
rec-2958-org,Alisha,La,61,Anapalau Pl,Kaaawa,90212,hi,19820820,27,480 5552523,4901608,0
rec-1166-org,Alisha,Nagai,5,Anapalau Pl,Volcano,90290,az,19561201,31,213 3321049,,0
rec-190-org,Alisha,Bradley,70,Booth Rd,Volcano,90280,hi,19990213,29,213 1213153,,1
rec-2842-org,Alisha,Takemoto,7,Iwalani Pl,Mahinahina,96712,nv,19880524,29,310 7221514,8899282,4
rec-855-org,,Matsunaga,12,Palolo Pl,Ainaloa,85292,,19431224,12,423 2809997,,0
rec-1201-org,Corrine,Uluwehi,88,Mission Ln,Volcano,85062,nv,,31,310 9326910,,0
rec-302-org,Alisha,Chock,21,Avenue E,Waipio Acres,89133,nv,20150810,26,602 1698121,1452994,9
rec-2489-org,Alisha,Akiona,2,Ihiloa Pl,Aiea,90274,az,,20,423 5297567,4219785,2
rec-1013-org,Alisha,Palila,82,Stommes Pl,Tiki Gardens,96747,az,19530107,10,423 2051951,,9
rec-72-org,Alisha,Chock,12,Anapalau Pl,Volcano,85041,hi,19580915,31,213 1931077,,0
rec-531-org,Alisha,Chock,45,Ala Hoku Pl,Volcano,85219,nv,19640521,27,206 4385677,,3
rec-780-org,Alisha,Ohara,40,Lili'uokalani,Volcano,85011,az,19411201,39,480 4883638,8059195,4
rec-2730-org,Alisha,Ikeda,29,9th Ave,Volcano,89180,az,20120512,25,602 5256700,7880267,1
rec-381-org,Alisha,Tomita,23,Niolopa Pl,Hanamaulu,,hi,20020427,29,213 0806150,,2
rec-1813-org,Alisha,Thompson,1748,Eucalyptus Pl,Volcano,85075,az,19850315,,423 1522002,9710930,8
rec-2889-org,Alisha,Burgess,,Naupaka Pl,Honalo,90212,hi,19210923,,808 5160008,,8
rec-1937-org,Alisha,Okimoto,16,Naakea St,Paukaa,92705,nv,19480120,27,602 8471349,9938610,4
rec-1174-org,Alisha,Ikeda,109,Naupaka Pl,Pukalani,89114,,19300219,24,206 3282618,6474108,5
rec-460-org,Alisha,Yoon,,Kipu Pl,Puako,89122,az,19271110,34,206 2795522,,1
rec-1280-org,Alisha,Okada,12,Velez Rd,Kaumakani,90212,wa,19921125,,310 7312214,4401767,1
rec-1386-org,Alisha,Sanchez,26,Halona Pl,Pakala Village,96755,az,20190304,32,213 7523304,,0
rec-1698-org,Alisha,Kimoto,14,Mcchord St,Aiea,96747,az,19760923,32,213 0941548,,2
rec-1855-org,Alisha,La,6,Belser St,Fern Acres,96747,or,19310827,36,,4882596,0
rec-1245-org,Alisha,La,6,Anapalau Pl,Captain Cook,85087,az,19760511,22,423 8074813,,4
rec-2747-org,Alisha,Akiona,157,Awaawaanoa Pl,Waiohinu,85061,,20010923,23,253 8774341,3611803,9
rec-2631-org,Alisha,Chock,66,Unulau Pl,Leilani Estates,96746,az,20050205,35,213 7234826,,5
rec-2873-org,Alisha,Holland,25,Ala Haukulu Pl,Kalaeloa,85237,nv,19520701,34,213 8605697,4470613,9
rec-1785-org,Alisha,La,137,Mana'o,Punaluu,90212,az,20161124,36,310 8493407,6825181,4
rec-1573-org,Alisha,Gordon,7,,Mauna Loa Estates,85283,wa,19510127,,480 4791808,8991945,0
rec-768-org,Alisha,Chock,8,Anapalau Pl,Kekaha,90274,nv,,33,423 1842753,,1
rec-2370-org,Alisha,Yasuda,10,,Tiki Gardens,85011,,19400326,21,206 5648948,,9
rec-2239-org,Alisha,Mahina,10,Bougainville Loop,Kapaau,90290,az,19760830,,,2025903,4
rec-406-org,Alisha,Tanigawa,4,Kumukoa St,Volcano,96748,or,,21,253 0608175,8368804,9
rec-2031-org,Alisha,Yasuda,30,Lono Pl,Kealakekua,89128,az,20140610,22,602 2159707,,9
rec-1877-org,,Okino,4,Ehupua Pl,Royal Hawaiian Estates,96728,nv,20111112,34,310 3352493,5246829,5
rec-2612-org,Alisha,Vasquez,6,Oliver St,Olowalu,89138,nv,20110420,24,213 2836616,9486517,6
rec-1792-org,Alisha,Kai,38,Reno Rd,Olowalu,96746,nv,19620913,25,213 0092420,,4
rec-1441-org,Alisha,Kai,63,Kekona Pl,Laie,85041,az,19981102,27,213 4394484,,2
rec-1427-org,Alisha,Holland,11,Bougainville Loop,Volcano,96746,az,19370426,33,213 9565806,,2
rec-2851-org,Hannah,Amaral,39,Ohana Nui Way,Waikoloa Beach Resort,85082,hi,20170831,27,253 2910887,3205593,4
rec-2313-org,Alisha,Shimada,88,Alo,Tiki Gardens,96747,az,19440512,23,206 2245617,,5
rec-1041-org,Ridge,Kauhane,26,Wanaka St,Kailua CDP,96727,nv,19890509,36,423 1559893,7536822,4
rec-533-org,Alisha,Uehara,81,Oahu Ave,Halaula,92706,nv,19970607,25,253 0648565,3831610,6
rec-1226-org,Alisha,Ohara,22,Manukapu Pl,Waikoloa Beach Resort,92782,az,20000229,,808 3958602,,4
rec-1261-org,Alisha,Chambers,94,Winic,Kalaeloa,85247,az,19320719,27,602 9576801,4335182,3
rec-2761-org,Alisha,Nakamoto,480,Kipu Pl,Honokaa,89125,az,19220711,29,206 3605804,4438649,8
rec-2188-org,Alisha,Chock,51,Kipu Pl,Volcano,96704,nv,19570729,34,480 3601098,3608718,2
rec-2768-org,,Thompson,5,Kamakee St,Anahola,90222,az,,22,,5767533,8
rec-1975-org,Alisha,Evangelista,26,Iholena St,,89124,hi,20050723,,253 1629287,7835691,5
rec-2954-org,Alisha,Russell,11,,Pakala Village,90290,,19251211,34,310 8734959,,6
rec-604-org,,Nani,17,Lincoln Ave,Volcano,96747,hi,20170808,,480 3327388,6507355,7
rec-2397-org,Alisha,Nakamoto,39,Kawika Pl,Maunawili,96746,,,,310 8833022,,5
rec-2503-org,Alisha,Araki,37,Ehupua Pl,Kahuku,90290,,20020221,,480 6617288,,0
rec-772-org,Alisha,Yee,49,The Mall St,Kalaeloa,96747,,19201127,26,808 2501414,,0
rec-2310-org,Alisha,Ikaika,60,Kalania Pl,Kealakekua,96746,wa,19320611,35,423 3970891,2110287,5
rec-551-org,Alisha,Herrera,12,Naupaka Pl,Honalo,96728,hi,20170314,25,480 0582855,,0
rec-1685-org,Corinne,Sugiyama,21,,Volcano,85071,hi,19530826,26,206 7230982,3645549,1
rec-1336-org,Uluwehi,Arakawa,6,Kelikoi St,Hawi,89124,az,19690108,24,310 9760933,,6
rec-1144-org,Alisha,Matsunaga,45,Hokiokio Pl,Kekaha,90290,hi,19771104,23,310 8647720,1874663,1
rec-1270-org,Suzan,Holland,75,Kauakahi Pl,Hawi,85043,az,19500913,,808 2231793,,2
rec-1904-org,Alisha,Ho,49,Kamehameha Ave,Kahaluu,85224,hi,19700915,21,480 2871496,,0
rec-252-org,Alisha,Coelho,44,Ala Makani Way,Volcano,90295,nv,19450718,39,213 0112537,8057474,5
rec-2314-org,,Tanigawa,13,N Kukui St,Mauna Loa Estates,90255,az,19280327,36,602 2127125,,5
rec-630-org,Alisha,Akau,3,Hawi Rd,Puako,89193,or,19360307,23,310 5341227,,2
rec-1848-org,,Burgess,8,Elelupe Rd,Kailua CDP,96745,or,19490505,37,253 2074411,,7
rec-1568-org,Alisha,George,180,One'ele Rd,Kalapana,96785,nv,20060904,31,310 9011142,,9
rec-2925-org,Alisha,Ikeda,11,Alaula,Waimanalo Beach,85248,hi,19751105,24,310 3440875,,0
rec-499-org,Alisha,Chock,34,Kaumaka Pl,Hawaiian Ocean View,90290,,19860524,,206 3039462,,1
rec-1240-org,Alisha,Ikeda,107,Anapalau Pl,Ewa Villages,85268,nv,19990719,35,206 0911948,9689891,8
rec-195-org,Ridge,Ekewaka,696,Ulupono St,Volcano,85075,hi,19560409,,602 8862301,5346723,9
rec-2805-org,Alisha,Ahe,42,Anapalau Pl,Paia,89133,az,19260616,34,213 8352163,,8
rec-2376-org,Alisha,La,48,Pali Hwy,Naalehu,85079,hi,19400318,37,206 2890459,,6
rec-341-org,Alisha,Chock,21,South Dr,Royal Kunia,85075,,19400507,7,423 3100984,9844317,2
rec-1389-org,Alisha,Obrien,19,Kipu Pl,Volcano,90290,az,20040824,30,602 9467731,,4
rec-2084-org,Alisha,,24,Oleana Ct,Kekaha,85075,or,19630811,7,808 8036545,5611890,8
rec-585-org,Alisha,Sanchez,3,Hunalewa St,Waiohinu,85260,hi,19340113,34,480 5692727,1286701,1
rec-1105-org,Sherry,,8,Kuanalu Pl,Waipio Acres,85087,,19390430,33,423 2607444,,8
rec-1563-org,Alisha,Perreira,60,,Olinda,89104,az,19480201,43,253 3740498,,8
rec-1669-org,Alisha,Chock,148,Olalahina Pl,Volcano,96747,hi,19541019,23,253 7292830,7419627,5
rec-574-org,Alisha,Fontanilla,17,Helo Pl,Wahiawa,85251,,19950520,19,808 0980229,5609828,4
rec-2932-org,Alisha,Holland,68,Ehupua Pl,Orchidlands Estates,90290,or,19931216,32,253 8640417,,6
rec-1392-org,Alisha,Choe,12,Pharis Pl,Tiki Gardens,96738,,20080716,29,206 6665293,2437762,3
rec-845-org,Alisha,Toguchi,90,Panui St,Volcano,92708,nv,19690106,,206 4085869,6187531,2
rec-811-org,Alisha,Shimabuku,103,Noeau St,Volcano,89124,hi,19591024,7,808 7361915,6398416,6
rec-2645-org,Hannah,Uehara,28,Manienie Rd,Volcano,90290,nv,19401113,29,808 9333000,6325374,1
rec-241-org,Alisha,Baldwin,40,Kanunu St,Makawao,96731,hi,19400418,,808 1620829,7491916,1
rec-939-org,Alisha,Thompson,9,B Ave,Kapalua,96746,az,,34,808 6172752,,2
rec-2657-org,Alisha,Bautista,97,Naupaka Pl,Waiohinu,85011,az,19711220,22,253 2741415,,9
rec-1024-org,Alisha,Davis,67,Apaki St,Volcano,96760,az,19631014,8,253 4590533,9832202,7
rec-690-org,Alisha,Carpenter,8,Pilikino St,Puako,85216,wa,20141115,37,602 1310486,4958358,4
rec-1035-org,Alisha,,64,Mohonua Pl,Launiupoko,96756,nv,20011228,11,213 3581582,9149879,7
rec-176-org,Alisha,Holland,25,Naai St,Fern Acres,96747,nv,20040927,32,253 5707196,3034058,1
rec-1065-org,Alisha,Takemoto,36,Bougainville Loop,Maili,96731,az,19700507,29,423 1721717,3227621,0
rec-916-org,Alisha,Choe,17,Sing Loy Ln,Tiki Gardens,85219,hi,19301011,,480 6322232,8970035,0
rec-581-org,Alisha,Derego,57,Kaalani Pl,Wainaku,90275,hi,,23,206 6189503,,6
rec-1767-org,Alisha,Chock,8,The Mall St,Keaau,90290,hi,19371012,31,602 1027716,,9
rec-1800-org,Ridge,Ross,51,Homestead Rd,Waimea,85283,nv,19750413,21,480 1058438,3379190,5
rec-2158-org,Alisha,Sakata,2,Coyne St,Kaanapali,96746,az,19330712,32,480 0768195,9608095,4
rec-934-org,Ariella,Uehara,4,Tampa Dr,Puako,92782,or,19250723,27,206 3354294,8722442,8
rec-947-org,Alisha,Simpson,47,,Tiki Gardens,89124,az,20170511,25,310 9250676,,6
rec-2859-org,Alisha,Duarte,17,Kipu Pl,Kalaeloa,96745,nv,19340609,25,310 1828067,1904821,3
rec-1142-org,Alisha,Tamayo,17,Hekau Pl,Volcano,96748,nv,,8,808 9354568,4255421,7
rec-1343-org,Alisha,Tomita,54,Industrial Rd,Orchidlands Estates,89135,nv,20080619,24,480 1725057,7540573,1
rec-143-org,Alisha,Chock,24,Ala Naupaka St,Paia,89142,nv,20190411,,480 6510439,6441239,2
rec-2517-org,Alisha,Davis,8,Kaumaka Pl,Pakala Village,85086,az,20111102,30,,8152251,5
rec-925-org,Alisha,Bright,6,Onipaa Pl,Kekaha,92735,or,19780204,28,,,4
rec-1964-org,Alisha,Uehara,31,Ihiloa Pl,Wailea,90222,hi,19200520,20,423 2955406,,9
rec-1239-org,Alisha,Chock,547,Bishop St,Volcano,92708,,,,808 3028269,,0
rec-277-org,Alisha,Takemoto,58,Hammerberg St,,90274,nv,19780624,32,206 6880618,,8
rec-2020-org,Alisha,Iha,123,Anapalau Pl,Halawa,85075,hi,20000201,40,213 4740562,5190645,7
rec-1613-org,Alisha,Fong,37,Ehupua Pl,,92728,wa,19430907,27,253 9641020,,0
rec-805-org,Alisha,Kiele,16,Anapalau Pl,Kalaheo,96746,az,20031213,,253 6509063,1868919,5
rec-735-org,Alisha,Sanchez,20,Loke Pl,Volcano,85224,hi,,32,310 5025676,,9
rec-2627-org,Alisha,Holland,25,Robinson Ln,Volcano,90290,nv,19650220,10,213 4126368,7156572,3
rec-505-org,Alisha,Tanigawa,43,Pharis Pl,Wailea,96746,az,20091227,23,,9555531,6
rec-215-org,Alisha,Souza,55,Keehi Pl - Honolulu International Airport (hnl),Kahaluu,85250,hi,20150607,30,423 3130192,,2
rec-844-org,Alisha,Kanani,2,Old E Manoa Rd,Volcano,85043,,19351103,11,213 1171085,9512120,4
rec-1508-org,Alisha,Takemoto,25,Hunnewell Pl,Wailua,85219,az,19800820,31,808 2849636,5409876,9
rec-958-org,Alisha,Sanchez,9,Naupaka Pl,Volcano,89124,,19980128,31,253 2468754,,8
rec-1131-org,Alisha,Uehara,33,Pilokea Ct,Ewa Villages,90290,nv,19280822,,480 3702280,3178101,4
rec-736-org,Alisha,Ku`u Hoaloha `Oi,29,Lilia Ct,Pearl City,85087,nv,20010928,34,423 3807794,,4
rec-160-org,Alisha,Matsunaga,5,Bougainville Loop,Volcano,96746,az,19710619,43,808 9003575,,0
rec-1640-org,Alisha,Carlson,23,E Outerbridge Ct,Volcano,85071,nv,19200306,34,808 4267272,8689522,4
rec-2615-org,Alisha,Chock,148,Kalania Pl,,90260,az,19331113,37,480 0756526,3628857,5
rec-1911-org,Alisha,Fernandes,90,Montgomery Dr,Ahuimanu,89170,az,19521106,12,206 0154145,,3
rec-2250-org,Alisha,Schneider,126,,Puhi,85030,az,19410622,29,808 9936265,,0
rec-2072-org,Alisha,Chock,72,Ihiloa Pl,Kamaili,85041,hi,19630201,30,310 5980936,,5
rec-1683-org,Alisha,Uehara,8,Ala Lilikoi St,Volcano,96745,az,20141209,29,602 5595171,5582627,9
rec-201-org,Alisha,Gushiken,202,Maulua Nui Rd,Kaneohe Base,90222,wa,19341003,30,602 8656247,,1
rec-2813-org,Alisha,Andres,5,Kaili St,Volcano,90230,nv,20100925,32,310 6672846,,8
rec-1821-org,Alisha,Holland,18,Pakanu St,Volcano,85055,az,19850308,26,480 9826175,,4
rec-128-org,Bishop,Yonamine,156,Atlanta St,Kapalua,85075,az,,23,423 3892740,2343848,5
rec-2182-org,Donovan,Shin,68,Kipu Pl,Kalaeloa,85224,az,20150826,34,310 3812628,8084008,3
rec-2872-org,Alisha,Punahele,52,Cavalry Rd,Kapaa,92708,hi,19291222,25,602 2912987,6486829,0
rec-2995-org,Alisha,Yamanaka,1039,Kokee Pl,Kaumakani,85079,hi,,,310 2633921,,0
rec-1443-org,Alisha,Davis,1110,Alo Alo St,Pukalani,96766,hi,19420713,31,,4445760,7
rec-2280-org,Alisha,Keawe,24,Lippia Loop,Honalo,96747,az,19340222,,480 3690790,8704664,9
rec-837-org,Alisha,Hunt,6,Ala Pue Pl,Puako,90240,hi,19710609,41,602 6979702,5485585,8
rec-2169-org,Alisha,Jose,5,Dominis St,Waimalu,85224,tx,,26,213 9450926,5245876,6
rec-812-org,Akamu,Oishi,28,Paliku St,Volcano,85292,hi,20171112,28,310 7498887,,1
rec-785-org,Alisha,Yap,39,Nanimauloa Pl,Mauna Loa Estates,85237,hi,19881120,,253 6678638,8098749,4
rec-2196-org,Alisha,Chock,33,Panui St,Puako,89135,az,19461014,8,213 0328796,,0
rec-1546-org,Alisha,Matsunaga,124,Hanohano,Hawaiian Acres,90270,az,19571017,29,213 3614687,7608246,7
rec-2437-org,Alisha,Sonoda,55,Armstrong St,Waipio Acres,90290,tx,19640212,30,602 9099673,,6
rec-1673-org,Alisha,Morimoto,4,Anapalau Pl,Wahiawa,89124,az,19801115,,808 3955120,7420205,7
rec-1456-org,Alisha,Hu,46,Kipu Pl,Schofield Barracks,85072,,20020716,31,253 8144064,,7
rec-1579-org,Alisha,Herrera,265,Lelehune Pl,Eden Roc,90290,az,19591204,33,253 3984761,,0
rec-337-org,Alisha,La,26,Ehupua Pl,Volcano,92702,or,19210218,,808 6046752,,0
rec-2116-org,Alisha,Chock,14,Kumulani St,Honalo,85219,az,,10,602 7481838,6715431,8
rec-1014-org,Alisha,Ibara,44,Halina St,Lawai,85075,ny,19350518,,480 5452808,,5
rec-750-org,Alisha,Kalahiki,9,Kaumaka Pl,Kalaeloa,85078,az,20180130,43,808 5847709,,4
rec-1951-org,Alisha,La,97,Ehupua Pl,Kahaluu,85208,nv,19450821,32,310 0177107,3696232,4
rec-1121-org,Alisha,Yoshida,39,Kipu Pl,Pakala Village,85260,az,19770922,10,423 8651720,,5
rec-2329-org,Alisha,Carpenter,7,Ehupua Pl,Volcano,85224,nv,19460609,37,310 8941298,,8
rec-2157-org,Ridge,Okumura,2,Hunnewell Pl,West Loch Estate,85086,,19500120,10,602 0941535,5754684,2
rec-859-org,Alisha,Tong,,Keopua St,Kailua CDP,85219,wa,19700422,9,253 9842444,,5
rec-2548-org,Alisha,Russell,326,Ehupua Pl,Keokea,85001,az,20181226,,480 4983008,7223409,5
rec-1169-org,Alisha,Takemoto,26,Ala Pue Pl,Puako,85245,tx,19210224,22,213 6137831,,7
rec-2751-org,Alisha,Antonio,22,Puowaina Dr,Mountain View,96753,,,29,423 6664955,,7
rec-1965-org,Alisha,Holland,33,Hunnewell Pl,Pakala Village,85079,nv,,29,213 4692380,6650158,2
rec-2109-org,Alisha,Chock,209,Ailuna St,Puako,85224,az,19620430,33,253 3721042,4797548,0
rec-186-org,Alisha,Lui,45,Kipu Pl,Wahiawa,85213,hi,19720417,24,213 2269254,9743522,7
rec-1757-org,Alisha,Julian,61,Homestead Rd,Waimea,96712,az,19680708,29,480 9682315,1652185,3
rec-1178-org,Alisha,Punahele,18,Kapulei St,Waiahole-Waikane,90290,nv,20210428,,206 4830758,,4
rec-1096-org,Alisha,Yamauchi,28,Kipu Pl,Kailua CDP,89121,az,19680402,29,808 8756953,,1
rec-513-org,Ridge,Berg,,Kipu Pl,West Loch Estate,85043,hi,19661124,25,253 6313355,,5
rec-799-org,Alisha,Chock,351,Ki'eki'ena,Keokea,85043,az,20130711,30,310 1615660,6590093,3
rec-1190-org,Alisha,,3,Liliha St,Olinda,85075,az,19550619,31,602 9993024,,4
rec-1397-org,Kealakekua,Ishida,17,Olino St,Kahaluu,90222,az,20100922,,310 8834166,4380044,8
rec-1274-org,,Uehara,39,Huehue Ranch Rd,Pearl City,96793,hi,19930904,24,213 7101320,,7
rec-820-org,Alisha,Nakano,8,Ehupua Pl,Iroquois Point,85224,hi,,29,480 9837700,,9
rec-889-org,Terrie,James,64,Pharis Pl,Puako,85250,az,19670220,8,206 9030660,,4
rec-953-org,Alisha,Williams,7,Pineapple Pl,Volcano,85232,nv,19950526,19,310 0500913,8396548,3
rec-2439-org,Alisha,Davis,11,,Volcano,85260,or,19800615,24,206 6666696,7193095,0
rec-1631-org,Alisha,Freeman,135,Lincoln Ave,Helemano,85235,hi,19331226,30,310 4225662,,8
rec-2613-org,Alisha,Alebana,22,,Honokaa,89127,nv,,11,206 6001994,,3
rec-1371-org,Alisha,Henry,76,Loulu Pl,Puako,89124,az,19601207,31,310 7747293,7506496,1
rec-764-org,Alisha,La,41,Naupaka Pl,Olinda,96746,or,20160630,,206 1212950,5033406,4
rec-829-org,Alisha,Kealoha,15,Lippia Loop,Tiki Gardens,85260,hi,19941016,30,423 4191008,,1
rec-2289-org,Alisha,La,13,Ala Noni Pl,Makawao,85250,hi,20030616,29,480 2044788,6174716,0
rec-456-org,Alisha,Yasuda,32,Ihiloa Pl,Royal Kunia,90290,,19440924,34,213 9745964,4422293,0
rec-1950-org,Alisha,Nakahara,76,Anapalau Pl,Volcano,90290,nv,19300122,23,253 1306706,4792376,0
rec-1979-org,Alisha,Andres,22,Amosa,Hanapepe,85260,wa,19610417,38,213 3160165,2110982,7
rec-108-org,Alisha,Uehara,147,Amau St,Pakala Village,89128,az,20131212,27,310 0501515,,2
rec-1136-org,Alisha,Chock,53,Thatcher Ct,Kahaluu,92706,nv,19380124,29,310 8810510,,8
